,headlines,categories
10,وائٹ ہاؤس کے سابق ڈاکٹر نے جوبائیڈن کی صحت پر سوالات اٹھادئیے,"['ڈاکٹر', 'ڈونلڈ ٹرمپ', 'وائٹ ہاؤس', 'عام انتخابات 2018', 'امریکہ']"
11,افغانستان میں سکیورٹی چیک پوائنٹ پر طالبان کا حملہ، 9 پولیس اہلکار ہلاک,"['اسلحہ', 'افغانستان', 'پولیس', 'طالبان', 'حملہ']"
12,دورہ جنوبی افریقہ ،قومی کرکٹ اسکواڈ کا پہلا کووڈ ٹیسٹ منفی آگیا، ٹریننگ کی اجازت مل گئی ,"['افریقہ', 'پاکستان کرکٹ بورڈ', 'پاکستان', 'کرکٹ', 'پی سی بی']"
13,ِکوئٹہ:میراحمد خان روڈ سے سڑک نکال کر انڈسٹریل ایریا، اور لنک سریاب سے ملانے کا مطالبہ,"['سڑک', 'جمعیت', 'علما', 'کوئٹہ', 'ٹریفک']"
14,موسمیاتی تبدیلی کا مقاملہ دور اندیش پالیسیوں کے ذریعے ہی کیا جاسکتا ہے، دفتر خارجہ,"['سونامی', 'اقوام متحدہ', 'دفتر خارجہ', 'روس ترکی کشیدگی', 'پاکستان', 'امریکہ', 'بنگلہ دیش', 'نریندرا مودی', 'دنیا', 'ڈالر', 'سوئی گیس', 'بھارت']"
15,حکومت نے 31 ماہ میں 5 چیئرمین ایف بی آر، 6 آئی جی پنجاب، 4 چیف سیکریٹری بدلے,"['کرونا وائرس', 'ڈاکٹر', 'حفیظ شیخ', 'فواد چوہدری', 'پاکستان', 'فردوس عاشق اعوان', 'وزارت داخلہ', 'پنجاب', 'وزیراعظم']"
16,گلگت بلتستان دفعہ 144نافذ، اسلحے کی نمائش، ہوائی فائرنگ پر پابندی عائد,"['فائرنگ', 'اسلحہ']"
17,ْچینی سٹہ مافیا کے خلاف کارروائی کیلئے ایف آئی لاہور نے ایف آئی اے کراچی کو خط لکھ دیا ,"['پاکستان', 'کراچی', 'نقصان', 'لاہور']"
18,مختلف شہروں میں کورونا ضوابط کی خلاف ورزی پر متعدد دکانیں اور ریسٹورنٹس سیل,"['کرونا وائرس', 'شادی', 'کار', 'ملتان', 'جرمانہ', 'لاہور', 'پشاور']"
19,ماحولیاتی سمٹ میں بھارت، بنگلادیش مدعو مگر پاکستان نہیں: احسن اقبال کی عمران خان پر تنقید,"['سونامی', 'مسلم لیگ (ن)', 'روس', 'وائٹ ہاؤس', 'پاکستان', 'امریکہ', 'احسن اقبال', 'کینیڈا', 'دنیا', 'چین', 'برطانیہ', 'بھارت']"
20,پنجاب کی شوگر ملز کا کرشنگ سیزن مکمل ہو گیا ,"['پنجاب', 'چین']"
21,چیف سیکرٹری پنجاب کی زیر صدارت صوبائی سلیکشن بورڈ ون کا اجلاس,['پنجاب']
