,headlines,categories,time
93,۵سریاب روڈ کوئٹہ کی توسیعی منصوبے سے متاثرین دکانداروں وتاجروں نے گاہی خان چوک میں احتجاجی کیمپ قائم کردیا ,"['دھرنا', 'کاروبار', 'مولانا فضل الرحمن', 'احتجاج', 'غریب', 'مہنگائی', 'کوئٹہ']",2021-03-21T21:10:04+0500
94,ً تحریک انصاف کے پارلیمانی لیڈر و صوبائی وزیر تعلیم سردار یار محمد رند کوئٹہ پہنچ گئے ,"['بلوچستان', 'تعلیم', 'پاکستان', 'کوئٹہ', 'پاکستان تحریک انصاف']",2021-03-21T21:10:03+0500
95,در یا خان مری کوٹ لالو کے قریب نوجوان کو کارو کاری کے الزام میں جان سے مارنے کی کوشش,"['احتجاج', 'مری']",2021-03-21T21:00:13+0500
96,علی بابا گورنمنٹ بوائز ڈگری کالج کوٹری اسپورٹس میں ویک ٹگ آف وار ٹرافی انٹر انجینئرنگ کلاس نے اپنے نام کرلی,"['پاکستان', 'یوم پاکستان']",2021-03-21T21:00:13+0500
97,ضروری مرمت کی وجہ سے 132 کے وی سکھر سٹی گرڈ اسٹیشن سے بجلی کی فراہمی 22 مارچ صبح 09 بجے سے دوپہر 01 بجے تک بندرہے گی,['بجلی'],2021-03-21T21:00:12+0500
98,ڈبلیو ڈبلیو ایف - پاکستان سکھر آفس نے سکھر میں جنگلات کا عالمی دن منایا ,"['سندھ', 'سول سوسائٹی', 'پانی', 'پاکستان']",2021-03-21T21:00:12+0500
99,مسلمانوں کا عقیدہ ہے حضوراکرم ؐاللہ تعالیٰ کے آخری نبی ہیں ،آپؐکے بعد قیامت تک کوئی نبی نہیں آئیگا، قاری محمد عثمان ,['عید'],2021-03-21T21:00:11+0500
100,حر مجاہد کے مر ید ین کی جانب سے خواجہ اسٹاف پر برصغیر پاک وہند کی عظیم شخصیت پیر سید صبغت اللہ شاہ المعروف سورہیہ بادشاہ کی 77ویں سالگرہ,"['بھارت', 'جہاد', 'ریاض', 'سندھ', 'دنیا', 'پاک افواج', 'شہید', 'چور', 'فوج']",2021-03-21T21:00:11+0500
101,ٹنڈوالہیار کو پیرس بنانے کا دعوہ کر نے والی قومی و صوبائی اسمبلی کے ممبران ضلعی انتظامیہ کے دعووں کی قلعی کھل کر سامنے آگئی,"['زخمی', 'گاڑی', 'اسمبلی', 'صوبائی اسمبلی']",2021-03-21T21:00:10+0500
102,جمعیت علما طاہریہ ٹنڈوالہیار کی جانب سے نیشنل پریس کلب ٹنڈوالہیار پر حق محبوب سجن سائیں کی 58ویں سالگرہ کا کیک کاٹنے کی تقریب ,"['جمعیت', 'سندھ', 'دنیا', 'علما', 'کرپشن', 'پاکستان']",2021-03-21T21:00:10+0500
103,جاتی کے شہریوں کے مسلسل احتجاج اور اعلی سطحی شکایات کے بعد ایس ڈی او حیسکو نے آخرکار بجلی بحال کردی ,"['احتجاج', 'پانی', 'بجلی']",2021-03-21T21:00:09+0500
