,headlines,categories
71,آل سندھ پروفیسر اعجاز احمد فاروقی انوی ٹیشن کرکٹ ٹورنامنٹ میں مزید تین میچوں کے فیصلے ہوگئے,"['پی سی بی', 'کراچی', 'سنچری', 'نقصان', 'کرکٹ', 'پاکستان کرکٹ بورڈ', 'پنجاب', 'پاکستان', 'سندھ']"
72,وطن عزیز کا امن قرارداد پاکستان سے منسلک ہے،شاہد فراز,"['یوم پاکستان', 'بھارت', 'پاکستان', 'دنیا', 'قرارداد', 'اقلیت']"
73,سکھر، قوم پرست جماعتوں کے 47 سے زائد عہدیداران و کارکنان قومی دھارے میں شامل ,"['ہوٹل', 'سندھ', 'فوج', 'پاکستان']"
74,سکھر میں تیز ہواؤں کیساتھ موسم گرما کی پہلی بارش،موسم خوشگوار ہوگیا,"['بجلی', 'موسم', 'بارشیں']"
75,سکھر، پھولوں کی نمائش کا سلسلہ جاری،واکنگ ٹریک پر ہرطرف رنگوں کی بہار چھاگئی,['موسم']
76,درآمدات اور برآمدات پر آئی پی آر قوانین کو موثر انداز میں نافذ کیا گیا، ڈائریکٹر آئی پی آر انفورسمنٹ,"['امریکہ', 'کار', 'تباہی', 'کراچی', 'پاکستان']"
77,راولپنڈی پولیس کی جرائم پیشہ عناصر کیخلاف کارروائی ،04ملزمان گرفتار ،چرس بر آمد,"['پولیس', 'تھانہ']"
78,چکوال، گورنمنٹ ہائی سکول دلہہ میں چار طالب علموں کا کورونا ٹیسٹ مثبت آنے پر سکول پانچ دن کیلئے سیل ,['کرونا وائرس']
79,پاکستان اسٹاک ایکس چینج میں تیزی ، مارکیٹ کے سرمائے میں 82ارب روپے کا اضافہ ریکارڈ کیا گیا ,"['کاروبار', 'ریکارڈ', 'سوئی گیس', 'پیٹرول', 'پاکستان']"
80,انٹر بینک اور مقامی اوپن کرنسی مارکیٹ میں روپے کے مقابلے ڈالر کی قدر میں گرا وٹ کا رجحان رہا,"['ڈالر', 'پاکستان']"
81,"ویز ا "" 2021 اسمال بزنس ریکوری"" اسٹڈی کا علان","['کار', 'پاکستان', 'کاروبار']"
82,مرکنٹائل ایکس چینج میں11.5ارب روپے کے سودے,['پاکستان']
83,پاکستان اسٹاک ایکس چینج میںشجرکاری کی مہم ,['پاکستان']
84,سونے کی فی تولہ قیمت میں700روپے کمی,['ریکارڈ']
85,ایف پی سی سی آئی کی پاک یو اے ای بزنس کونسل کا مقصدتجارتی حجم میں اضافہ کرنا ہے،دیوان فخرالدین ,"['ایران', 'چین', 'متحدہ عرب امارات', 'دبئی', 'قطر', 'بھارت', 'فخرالدین جی ابراہیم', 'پاکستان', 'دنیا']"
86,راولپنڈی پولیس کی ناجائز اسلحہ رکھنے والوں کیخلاف کارروائی،06ملزمان گرفتار، اسلحہ و ایمونیشن برآمد,"['پولیس', 'اسلحہ']"
87,پولیس گائیڈزسائلین کی بھرپور رہنمائی کریں،آئی جی اسلام آباد ,"['پولیس', 'منشیات', 'تھانہ', 'ریکارڈ']"
88,چیئر مین سی ڈی اے نے حالیہ بارش کے بعد اہم شاہراہوں اور مرکزی سڑکوں پرنکاسی کا جائزہ لیا,"['پانی', 'موسم', 'محمد علی جناح', 'ٹریفک', 'سی ڈی اے', 'بارشیں']"
89,گزشتہ ہفتے جرائم میں ملوث207 ملزمان کو گرفتارکرلیا گیا،وفا قی پولیس کی کارکردگی رپورٹ جاری,"['پولیس', 'کار', 'ڈاکٹر', 'منشیات', 'اسلحہ', 'قتل', 'ڈکیتی', 'ہیروئن', 'گاڑیاں']"
